,LATITUDE,LONGITUDE,SIO2,NA2O,K2O,CAO,FEO,MGO,MATERIAL,SAMPLE ID
6,-38.4,176.0,50.51,3.06,0.64,10.6,8.4,5.8,WR,15500910-TPVZ-TZ005
7,-38.5847,176.0,50.366,2.72,0.39,10.48,8.33,6.06,WR,15500910-TPVZ-TZ006
8,-38.3833,176.0,51.74,2.71,0.71,10.08,7.92,6.0,WR,15500910-TPVZ-TZ017
9,-39.25,176.0,48.52,2.49,0.27,11.16,6.99,9.12,WR,15500910-TPVZ-TZ015
15,-39.25,176.0,52.27,2.76,0.58,9.61,7.45,9.15,WR,15500910-TPVZ-TZ016
10,-38.6689,176.0,48.92,2.2,0.33,12.07,8.26,6.97,WR,15500910-TPVZ-TZ001
11,-38.4667,176.0,51.02,2.61,0.56,10.18,7.84,9.2,WR,15500910-TPVZ-TZ014
12,-39.0,176.0,50.11,3.08,0.4,10.57,8.47,6.24,WR,15500910-TPVZ-TZ003
13,-39.1403,176.0,52.45,2.41,0.67,10.29,7.87,7.67,WR,15500910-TPVZ-TZ010
14,-38.0833,176.0,51.06,2.34,0.55,11.86,7.57,6.31,WR,15500910-TPVZ-TZ008
16,-38.0833,176.0,53.24,2.87,0.78,9.93,8.02,5.24,WR,15500910-TPVZ-TZ009
17,-38.5014,176.0,50.19,3.22,0.37,10.49,8.25,6.14,WR,15500910-TPVZ-TZ012
18,-38.5014,176.0,49.43,2.95,0.31,11.68,7.84,7.46,WR,15500910-TPVZ-TZ013
19,-38.6681,176.0,49.5,2.25,0.3,12.0,8.27,6.94,WR,15500910-TPVZ-TZ007
20,-38.2333,176.0,50.63,2.12,0.55,11.34,8.26,6.17,WR,15500910-TPVZ-TZ004
21,-39.0333,176.0,52.26,1.64,0.43,9.61,7.37,13.17,WR,15500910-TPVZ-TZ011
44,42.0,2.0,44.19,4.48,1.77,8.97,11.03,10.35,WR,BIANSPA-OLOT-OLT12
45,42.0,2.0,45.53,0.1,0.01,3.01,7.52,40.13,WR,BIANSPA-OLOT-OLT14D
46,42.0,2.0,46.45,0.1,0.04,2.63,7.9,39.87,WR,BIANSPA-OLOT-OLT29A
47,42.0,2.0,43.81,,0.02,0.33,7.36,47.89,WR,BIANSPA-OLOT-OLT3A
48,42.0,2.0,44.21,,0.02,0.5,7.53,47.24,WR,BIANSPA-OLOT-OLT3B
49,42.0,2.0,44.41,,0.02,0.55,7.65,46.9,WR,BIANSPA-OLOT-OLT4A
50,42.0,2.0,45.7,0.08,0.03,3.5,7.86,39.52,WR,BIANSPA-OLOT-OLT4E
51,42.0,2.0,46.45,0.03,0.01,3.06,7.51,40.04,WR,BIANSPA-OLOT-OLT4F
52,42.0,2.0,44.2,,0.04,0.51,7.58,47.13,WR,BIANSPA-OLOT-OLT7
53,42.0,2.0,44.43,,0.04,0.5,7.44,47.14,WR,BIANSPA-OLOT-OTL14A
81,20.3,110.1,43.5,0.22,0.03,2.77,7.46,38.22,WR,CAOCHI-TIA-RT1014-46
82,20.3,110.1,43.88,0.28,0.04,3.24,7.44,37.94,WR,CAOCHI-TIA-RT1014-47
99,42.75,11.8667,56.62,0.99,7.16,4.48,5.12,8.42,WR,CONTITAL-TALF-VS90-A
100,42.75,11.8667,62.44,2.17,1.58,0.15,1.29,0.43,WR,CONTITAL-TALF-VS25-B
101,42.75,11.8667,57.67,1.15,5.9,4.36,5.54,7.52,WR,CONTITAL-TALF-VS27-B
102,42.75,11.8667,55.47,1.18,7.46,4.7,5.08,9.36,WR,CONTITAL-TALF-VS29-A
112,37.21,-119.15,50.8,0.09,0.23,13.4,5.73,17.6,WR,DODSIE-CP-119
113,37.21,-119.15,47.7,1.18,0.18,19.7,6.24,11.5,WR,DODSIE-CP-134
114,37.21,-119.15,52.4,,0.02,1.38,9.84,27.4,WR,DODSIE-CP-142
115,37.21,-119.15,55.7,,,1.55,5.71,32.5,WR,DODSIE-CP-150
116,37.21,-119.15,51.1,1.16,0.21,20.8,3.59,14.6,WR,DODSIE-CP-153
117,37.21,-119.15,52.9,0.56,0.03,14.6,3.6,22.0,WR,DODSIE-CP-160A
118,37.21,-119.15,53.9,0.93,0.76,10.2,5.24,20.8,WR,DODSIE-CP-160B
119,37.21,-119.15,51.6,0.56,,19.5,3.25,17.4,WR,DODSIE-CP-161
120,37.21,-119.15,53.9,0.23,,6.34,6.02,27.5,WR,DODSIE-CP-164
121,37.21,-119.15,53.6,1.26,0.21,19.5,3.68,15.6,WR,DODSIE-CP-166
122,37.21,-119.15,54.7,0.18,,4.25,5.41,29.7,WR,DODSIE-CP-179
123,37.21,-119.15,51.4,1.07,0.72,18.1,4.14,13.7,WR,DODSIE-CP-180
124,37.21,-119.15,53.3,0.28,,12.4,4.96,22.6,WR,DODSIE-CP-193
125,37.21,-119.15,50.2,0.6,0.26,8.85,6.79,20.1,WR,DODSIE-CP-194
126,37.21,-119.15,53.2,,,1.75,7.4,29.0,WR,DODSIE-CP-200
127,37.21,-119.15,53.3,2.82,2.39,7.98,1.79,7.77,WR,DODSIE-CP-203
128,37.21,-119.15,53.6,2.58,2.53,7.35,3.92,7.94,WR,DODSIE-CP-204
129,37.21,-119.15,53.1,2.72,2.48,7.93,4.66,8.48,WR,DODSIE-CP-214
