,Volcano Name,material,PetDB Major Rock 1,PetDB Major Rock 2,PetDB Major Rock 3,PetDB Major Rock 4,PetDB Major Rock 5,cnt 1,cnt 2,cnt 3,cnt 4,cnt 5
0,Fogo,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
1,Fogo,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
2,Fogo,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
3,Cameroon,WR,FOIDITE,TEPHRITE/BASANITE,No Data,No Data,No Data,12,6,0,0,0
4,Cameroon,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
5,Cameroon,INC,BASALT,PICROBASALT,TEPHRITE/BASANITE,FOIDITE,No Data,3,2,2,1,0
6,Hainan Volcanic Field,WR,ANDESITE,BASALTIC ANDESITE,No Data,No Data,No Data,34,7,0,0,0
7,Hainan Volcanic Field,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
8,Hainan Volcanic Field,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
9,Santa Isabel-Africa (western),WR,FOIDITE,TEPHRITE/BASANITE,No Data,No Data,No Data,13,7,0,0,0
10,Santa Isabel-Africa (western),GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
11,Santa Isabel-Africa (western),INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
12,Wrangell,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
13,Wrangell,GL,RHYOLITE,No Data,No Data,No Data,No Data,2,0,0,0,0
14,Wrangell,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
15,Changbaishan,WR,BASALTIC TRACHYANDESITE,TRACHYTE/TRACHYDACITE,ANDESITE,TRACHYANDESITE,RHYOLITE,4,2,2,1,1
16,Changbaishan,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
17,Changbaishan,INC,PICROBASALT,No Data,No Data,No Data,No Data,1,0,0,0,0
18,Lanzarote,WR,PICROBASALT,FOIDITE,TEPHRITE/BASANITE,No Data,No Data,11,7,5,0,0
19,Lanzarote,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
20,Lanzarote,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
21,Wudalianchi,WR,TRACHYANDESITE,RHYOLITE,No Data,No Data,No Data,8,7,0,0,0
22,Wudalianchi,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
23,Wudalianchi,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
24,Auckland Volcanic Field,WR,FOIDITE,No Data,No Data,No Data,No Data,2,0,0,0,0
25,Auckland Volcanic Field,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
26,Auckland Volcanic Field,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
27,"Sawad, Harra Es-",WR,PICROBASALT,BASALT,No Data,No Data,No Data,6,4,0,0,0
28,"Sawad, Harra Es-",GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
29,"Sawad, Harra Es-",INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
