,Volcano Name,material,PetDB Major Rock 1,PetDB Major Rock 2,PetDB Major Rock 3,PetDB Major Rock 4,PetDB Major Rock 5,cnt 1,cnt 2,cnt 3,cnt 4,cnt 5
0,Nyamulagira,WR,TEPHRITE/BASANITE,FOIDITE,No Data,No Data,No Data,13,8,0,0,0
1,Nyamulagira,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
2,Nyamulagira,INC,TEPHRITE/BASANITE,TRACHYBASALT,BASALT,No Data,No Data,16,11,6,0,0
3,"Lengai, Ol Doinyo",WR,FOIDITE,PHONOLITE,TEPHRITE/BASANITE,No Data,No Data,39,22,14,0,0
4,"Lengai, Ol Doinyo",GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
5,"Lengai, Ol Doinyo",INC,FOIDITE,No Data,No Data,No Data,No Data,2,0,0,0,0
6,Dallol,WR,RHYOLITE,BASALT,TRACHYANDESITE,No Data,No Data,3,1,1,0,0
7,Dallol,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
8,Dallol,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
9,Manda Hararo,WR,BASALT,RHYOLITE,No Data,No Data,No Data,2,2,0,0,0
10,Manda Hararo,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
11,Manda Hararo,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
12,Alu-Dalafilla,WR,TEPHRITE/BASANITE,No Data,No Data,No Data,No Data,1,0,0,0,0
13,Alu-Dalafilla,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
14,Alu-Dalafilla,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
15,Dabbahu,WR,RHYOLITE,BASALT,No Data,No Data,No Data,43,19,0,0,0
16,Dabbahu,GL,RHYOLITE,No Data,No Data,No Data,No Data,14,0,0,0,0
17,Dabbahu,INC,RHYOLITE,No Data,No Data,No Data,No Data,58,0,0,0,0
18,Nyiragongo,WR,FOIDITE,No Data,No Data,No Data,No Data,25,0,0,0,0
19,Nyiragongo,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
20,Nyiragongo,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
21,Ardoukoba,WR,BASALT,FOIDITE,No Data,No Data,No Data,3,3,0,0,0
22,Ardoukoba,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
23,Ardoukoba,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
24,Erta Ale,WR,RHYOLITE,TEPHRITE/BASANITE,TRACHYTE/TRACHYDACITE,No Data,No Data,23,12,9,0,0
25,Erta Ale,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
26,Erta Ale,INC,BASALT,RHYOLITE,No Data,No Data,No Data,1,1,0,0,0
27,Visoke,WR,FOIDITE,No Data,No Data,No Data,No Data,19,0,0,0,0
28,Visoke,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
29,Visoke,INC,BASALT,TEPHRITE/BASANITE,No Data,No Data,No Data,4,1,0,0,0
30,Manda-Inakir,WR,TEPHRITE/BASANITE,RHYOLITE,No Data,No Data,No Data,1,1,0,0,0
31,Manda-Inakir,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
32,Manda-Inakir,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
33,Meru,WR,FOIDITE,PHONOLITE,TEPHRITE/BASANITE,TRACHYTE/TRACHYDACITE,No Data,52,35,28,27,0
34,Meru,GL,DACITE,No Data,No Data,No Data,No Data,1,0,0,0,0
35,Meru,INC,TEPHRITE/BASANITE,FOIDITE,No Data,No Data,No Data,1,1,0,0,0
36,Emuruangogolak,WR,TRACHYTE/TRACHYDACITE,TEPHRITE/BASANITE,FOIDITE,TRACHYANDESITE,No Data,4,3,2,2,0
37,Emuruangogolak,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
38,Emuruangogolak,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
39,Tullu Moye,WR,TRACHYTE/TRACHYDACITE,RHYOLITE,BASALT,No Data,No Data,57,50,27,0,0
40,Tullu Moye,GL,RHYOLITE,TRACHYTE/TRACHYDACITE,No Data,No Data,No Data,41,15,0,0,0
41,Tullu Moye,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
42,South Island,WR,BASALTIC ANDESITE,TRACHYANDESITE,No Data,No Data,No Data,5,2,0,0,0
43,South Island,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
44,South Island,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
45,Longonot,WR,RHYOLITE,No Data,No Data,No Data,No Data,86,0,0,0,0
46,Longonot,GL,TRACHYANDESITE,TEPHRI-PHONOLITE,No Data,No Data,No Data,4,2,0,0,0
47,Longonot,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
48,Dubbi,WR,TRACHYTE/TRACHYDACITE,TEPHRITE/BASANITE,TRACHYANDESITE,RHYOLITE,No Data,9,8,7,7,0
49,Dubbi,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
