,Volcano Name,material,PetDB Major Rock 1,PetDB Major Rock 2,PetDB Major Rock 3,PetDB Major Rock 4,PetDB Major Rock 5,cnt 1,cnt 2,cnt 3,cnt 4,cnt 5
0,Fagradalsfjall,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
1,Fagradalsfjall,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
2,Fagradalsfjall,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
3,Wolf,WR,BASALT,No Data,No Data,No Data,No Data,92,0,0,0,0
4,Wolf,GL,BASALT,No Data,No Data,No Data,No Data,10,0,0,0,0
5,Wolf,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
6,Fernandina,WR,BASALT,PICROBASALT,No Data,No Data,No Data,22,17,0,0,0
7,Fernandina,GL,BASALT,TEPHRITE/BASANITE,PICROBASALT,No Data,No Data,32,26,9,0,0
8,Fernandina,INC,BASALT,No Data,No Data,No Data,No Data,75,0,0,0,0
9,"Negra, Sierra",WR,BASALT,No Data,No Data,No Data,No Data,36,0,0,0,0
10,"Negra, Sierra",GL,BASALT,No Data,No Data,No Data,No Data,12,0,0,0,0
11,"Negra, Sierra",INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
12,Bardarbunga,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
13,Bardarbunga,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
14,Bardarbunga,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
15,"Azul, Cerro-Galapagos Islands",WR,BASALT,PICROBASALT,No Data,No Data,No Data,31,26,0,0,0
16,"Azul, Cerro-Galapagos Islands",GL,BASALT,No Data,No Data,No Data,No Data,9,0,0,0,0
17,"Azul, Cerro-Galapagos Islands",INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
18,"Tair, Jebel at",WR,BASALT,No Data,No Data,No Data,No Data,1,0,0,0,0
19,"Tair, Jebel at",GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
20,"Tair, Jebel at",INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
21,Hekla,WR,RHYOLITE,No Data,No Data,No Data,No Data,1,0,0,0,0
22,Hekla,GL,RHYOLITE,No Data,No Data,No Data,No Data,1,0,0,0,0
23,Hekla,INC,FOIDITE,No Data,No Data,No Data,No Data,1,0,0,0,0
24,Terceira,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
25,Terceira,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
26,Terceira,INC,BASALT,No Data,No Data,No Data,No Data,1,0,0,0,0
27,Alcedo,WR,BASALT,PICROBASALT,RHYOLITE,No Data,No Data,12,8,6,0,0
28,Alcedo,GL,TRACHYTE/TRACHYDACITE,No Data,No Data,No Data,No Data,3,0,0,0,0
29,Alcedo,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
30,Socorro,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
31,Socorro,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
32,Socorro,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
33,Marchena,WR,TEPHRITE/BASANITE,No Data,No Data,No Data,No Data,3,0,0,0,0
