,Volcano Name,material,PetDB Major Rock 1,PetDB Major Rock 2,PetDB Major Rock 3,PetDB Major Rock 4,PetDB Major Rock 5,cnt 1,cnt 2,cnt 3,cnt 4,cnt 5
0,Ulawun,WR,DACITE,BASALT,No Data,No Data,No Data,1,1,0,0,0
1,Ulawun,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
2,Ulawun,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
3,Ambae,WR,BASALT,No Data,No Data,No Data,No Data,10,0,0,0,0
4,Ambae,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
5,Ambae,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
6,Chikurachki,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
7,Chikurachki,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
8,Chikurachki,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
9,Lascar,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
10,Lascar,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
11,Lascar,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
12,Etna,WR,BASALTIC TRACHYANDESITE,BASALTIC ANDESITE,No Data,No Data,No Data,16,11,0,0,0
13,Etna,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
14,Etna,INC,BASALTIC TRACHYANDESITE,TRACHYBASALT,BASALTIC ANDESITE,BASALT,No Data,6,4,2,2,0
15,Klyuchevskoy,WR,BASALT,No Data,No Data,No Data,No Data,17,0,0,0,0
16,Klyuchevskoy,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
17,Klyuchevskoy,INC,BASALTIC ANDESITE,BASALT,No Data,No Data,No Data,2,1,0,0,0
18,San Miguel,WR,BASALT,BASALTIC ANDESITE,No Data,No Data,No Data,9,2,0,0,0
19,San Miguel,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
20,San Miguel,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
21,Chirinkotan,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
22,Chirinkotan,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
23,Chirinkotan,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
24,Alaid,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
25,Alaid,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
26,Alaid,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
27,Turrialba,WR,BASALTIC TRACHYANDESITE,BASALT,No Data,No Data,No Data,2,2,0,0,0
28,Turrialba,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
29,Turrialba,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
30,Ebeko,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
31,Ebeko,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
32,Ebeko,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
33,Gaua,WR,PICROBASALT,BASALT,TRACHYBASALT,No Data,No Data,2,2,2,0,0
34,Gaua,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
35,Gaua,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
36,Poas,WR,BASALT,BASALTIC ANDESITE,No Data,No Data,No Data,12,4,0,0,0
37,Poas,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
38,Poas,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
39,Purace,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
40,Purace,GL,RHYOLITE,No Data,No Data,No Data,No Data,1,0,0,0,0
41,Purace,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
42,Pinatubo,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
43,Pinatubo,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
44,Pinatubo,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
45,Asosan,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
46,Asosan,GL,RHYOLITE,No Data,No Data,No Data,No Data,1,0,0,0,0
47,Asosan,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
48,Pavlof,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
49,Pavlof,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
50,Pavlof,INC,BASALT,BASALTIC ANDESITE,DACITE,No Data,No Data,1,1,1,0,0
51,Rincon de la Vieja,WR,BASALTIC ANDESITE,BASALT,No Data,No Data,No Data,15,8,0,0,0
52,Rincon de la Vieja,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
53,Rincon de la Vieja,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
54,Krakatau,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
55,Krakatau,GL,DACITE,No Data,No Data,No Data,No Data,1,0,0,0,0
56,Krakatau,INC,TRACHYANDESITE,DACITE,ANDESITE,No Data,No Data,2,2,1,0,0
57,Great Sitkin,WR,TEPHRITE/BASANITE,No Data,No Data,No Data,No Data,1,0,0,0,0
58,Great Sitkin,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
59,Great Sitkin,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
60,Telica,WR,BASALT,BASALTIC ANDESITE,ANDESITE,No Data,No Data,18,4,4,0,0
61,Telica,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
62,Telica,INC,BASALTIC ANDESITE,TRACHYTE/TRACHYDACITE,DACITE,No Data,No Data,2,1,1,0,0
63,Merapi,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
64,Merapi,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
65,Merapi,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
66,San Cristobal-Nicaragua,WR,BASALT,ANDESITE,BASALTIC ANDESITE,No Data,No Data,5,4,2,0,0
67,San Cristobal-Nicaragua,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
68,San Cristobal-Nicaragua,INC,BASALT,BASALTIC ANDESITE,ANDESITE,No Data,No Data,3,2,1,0,0
69,Cleveland,WR,ANDESITE,BASALTIC ANDESITE,BASALT,No Data,No Data,6,2,1,0,0
70,Cleveland,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
71,Cleveland,INC,DACITE,BASALT,ANDESITE,No Data,No Data,7,6,6,0,0
72,Sarychev Peak,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
73,Sarychev Peak,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
74,Sarychev Peak,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
75,Shishaldin,WR,BASALT,No Data,No Data,No Data,No Data,14,0,0,0,0
