,Volcano Name,material,PetDB Major Rock 1,PetDB Major Rock 2,PetDB Major Rock 3,PetDB Major Rock 4,PetDB Major Rock 5,cnt 1,cnt 2,cnt 3,cnt 4,cnt 5
0,Nishinoshima,WR,ANDESITE,No Data,No Data,No Data,No Data,9,0,0,0,0
1,Nishinoshima,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
2,Nishinoshima,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
3,Home Reef,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
4,Home Reef,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
5,Home Reef,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
6,Ioto,WR,TRACHYTE/TRACHYDACITE,No Data,No Data,No Data,No Data,2,0,0,0,0
7,Ioto,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
8,Ioto,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
9,Hunga Tonga-Hunga Ha'apai,WR,BASALT,No Data,No Data,No Data,No Data,2,0,0,0,0
10,Hunga Tonga-Hunga Ha'apai,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
11,Hunga Tonga-Hunga Ha'apai,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
12,Kavachi,WR,BASALT,No Data,No Data,No Data,No Data,6,0,0,0,0
13,Kavachi,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
14,Kavachi,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
15,Pagan,WR,BASALTIC ANDESITE,BASALT,No Data,No Data,No Data,25,12,0,0,0
16,Pagan,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
17,Pagan,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
18,Soufriere St. Vincent,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
19,Soufriere St. Vincent,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
20,Soufriere St. Vincent,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
21,Kikai,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
22,Kikai,GL,DACITE,No Data,No Data,No Data,No Data,1,0,0,0,0
23,Kikai,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
24,Lateiki,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
25,Lateiki,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
26,Lateiki,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
27,Tinakula,WR,BASALT,BASALTIC ANDESITE,No Data,No Data,No Data,5,2,0,0,0
28,Tinakula,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
29,Tinakula,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
30,Kick 'em Jenny,WR,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
31,Kick 'em Jenny,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
32,Kick 'em Jenny,INC,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
33,Tofua,WR,BASALT,No Data,No Data,No Data,No Data,2,0,0,0,0
34,Tofua,GL,No Data,No Data,No Data,No Data,No Data,0,0,0,0,0
35,Tofua,INC,BASALT,No Data,No Data,No Data,No Data,1,0,0,0,0
